instance,solver
synth-1858-52-8-2-0.5-0-1045_bic-4,ilp-162
synth-1861-22-2-2-0.5-0-782_bdeu-10-4,cpbayes
synth-1892-28-5-2-0.5-0-1158_bdeu-1-4,cpbayes
synth-1898-42-8-2-0.5-0-1647_bdeu-1-3,ilp-141-nc
synth-1901-54-2-2-0.5-0-238_bdeu-1-5,ilp-162
synth-1918-58-3-2-0.5-0-1675_bdeu-100-2,ilp-141-nc
synth-1928-45-4-2-0.5-0-4359_bic-2,ilp-162
synth-1931-40-5-2-0.5-0-1117_bdeu-100-2,ilp-141
synth-1939-43-5-2-0.5-0-2818_bdeu-1-3,ilp-141
synth-1949-36-3-2-0.5-0-436_bic-5,ilp-141
synth-1962-31-5-2-0.5-0-5828_bdeu-0.1-4,cpbayes
synth-1979-52-7-2-0.5-0-3151_bdeu-1-3,ilp-141
synth-1983-35-4-2-0.5-0-2132_bic-4,ilp-162-nc
synth-1998-32-5-2-0.5-0-3014_bdeu-100-2,ilp-162
trains_bdeu-0.1-2,astar-comp
trains_bdeu-1-6,astar-comp
triazines_bdeu-1-2,ilp-141
voting_bdeu-100-2,astar-ec
water_10000_bdeu-10-5,ilp-141
water_1000_bdeu-10-4,ilp-141
water_1000_bdeu-10-6,ilp-141
water_100_bdeu-1-4,ilp-141
wiki4he_bdeu-0.1-2,ilp-141
zoo_bdeu-1-2,cpbayes
zoo_bdeu-100-4,astar-ec
