instance,solver
synth-1775-54-8-2-0.5-0-158_bdeu-1-3,ilp-162
synth-1794-49-2-2-0.5-0-1398_bdeu-0.1-2,ilp-141
synth-1803-39-7-2-0.5-0-429_bdeu-1-2,ilp-162
synth-1825-44-4-2-0.5-0-110_bdeu-10-2,ilp-162
synth-1873-34-3-2-0.5-0-4283_bdeu-1-3,ilp-162
synth-1888-49-3-2-0.5-0-677_bdeu-10-4,ilp-162
synth-1896-43-6-2-0.5-0-8731_bdeu-0.1-2,ilp-162
synth-1908-21-8-2-0.5-0-811_bdeu-0.1-3,cpbayes
synth-1911-40-2-2-0.5-0-1904_bic-3,ilp-141
synth-1933-50-5-2-0.5-0-138_bdeu-1-3,ilp-162
synth-1942-38-5-2-0.5-0-7696_bdeu-0.1-2,ilp-162
synth-1951-45-7-2-0.5-0-9636_bdeu-0.1-2,ilp-141
synth-1957-22-2-2-0.5-0-5089_bdeu-1-3,cpbayes
synth-1959-40-6-2-0.5-0-1293_bdeu-1-2,ilp-162
synth-1967-27-4-2-0.5-0-972_bdeu-1-4,ilp-162
synth-1976-50-8-2-0.5-0-597_bdeu-100-2,ilp-141
synth-1977-29-8-2-0.5-0-212_bdeu-1-5,ilp-162
synth-1981-40-8-2-0.5-0-193_bdeu-1-4,ilp-162
synth-1994-27-8-2-0.5-0-648_bdeu-10-3,cpbayes
trains_bdeu-0.1-6,astar-comp
trains_bdeu-100-5,astar-ec
trains_bdeu-100-6,astar-ec
water_10000_bdeu-1-2,cpbayes
water_1000_bdeu-1-2,ilp-141
water_1000_bdeu-10-2,cpbayes
water_1000_bic,ilp-141
water_100_bdeu-0.1-3,ilp-141
water_100_bdeu-0.1-6,ilp-141
wiki4he_bdeu-100-4,ilp-141
zoo_bdeu-10-2,astar-ec
zoo_bdeu-100-3,cpbayes
