instance,solver
synth-1744-22-3-2-0.5-0-979_bic-5,cpbayes
synth-1745-28-3-2-0.5-0-563_bdeu-100-3,astar-comp
synth-1768-44-6-2-0.5-0-969_bdeu-1-4,ilp-141
synth-1776-20-8-2-0.5-0-633_bdeu-0.1-3,ilp-162
synth-1785-22-5-2-0.5-0-1045_bdeu-1-3,ilp-162-nc
synth-1808-27-7-2-0.5-0-274_bdeu-100-2,cpbayes
synth-1809-56-2-2-0.5-0-6308_bdeu-10-3,ilp-141
synth-1811-56-7-2-0.5-0-3338_bdeu-0.1-3,ilp-141
synth-1814-34-4-2-0.5-0-107_bic-4,ilp-162
synth-1852-28-3-2-0.5-0-2952_bdeu-10-4,cpbayes
synth-1860-28-8-2-0.5-0-142_bdeu-100-3,astar-comp
synth-1865-33-6-2-0.5-0-235_bic-3,ilp-162
synth-1866-34-2-2-0.5-0-270_bdeu-100-2,ilp-141
synth-1874-58-8-2-0.5-0-104_bic-5,ilp-141
synth-1881-41-8-2-0.5-0-222_bdeu-100-2,ilp-162
synth-1882-58-8-2-0.5-0-318_bic-2,ilp-162-nc
synth-1891-55-4-2-0.5-0-211_bdeu-0.1-4,ilp-162
synth-1895-34-3-2-0.5-0-326_bdeu-10-3,ilp-162
synth-1900-21-4-2-0.5-0-184_bdeu-10-2,cpbayes
synth-1913-27-8-2-0.5-0-747_bdeu-0.1-4,cpbayes
synth-1936-57-7-2-0.5-0-1483_bdeu-10-2,ilp-141
synth-1938-48-2-2-0.5-0-4574_bdeu-0.1-2,ilp-141
synth-1950-47-8-2-0.5-0-794_bdeu-0.1-2,ilp-162
synth-1969-58-5-2-0.5-0-138_bic-4,ilp-162
synth-1982-53-7-2-0.5-0-715_bic-2,ilp-141
trains_bdeu-1-3,cpbayes
trains_bdeu-1-5,astar-comp
trains_bdeu-10-3,astar-comp
trains_bdeu-10-4,astar-comp
triazines_bdeu-10-2,ilp-141
triazines_bdeu-100-2,ilp-141
turkiye_bic-4,cpbayes
water_10000_bdeu-0.1-2,ilp-141
water_10000_bdeu-10-6,ilp-141
water_1000_bdeu-0.1-3,ilp-141
water_1000_bdeu-0.1-5,ilp-141
water_1000_bdeu-1-4,ilp-141
water_1000_bdeu-1-5,ilp-141
water_1000_bdeu-10-5,ilp-141
water_100_bdeu-10-6,cpbayes
