instance,solver
synth-1701-42-3-2-0.5-0-122_bdeu-0.1-5,ilp-162
synth-1710-53-6-2-0.5-0-120_bic-2,ilp-162
synth-1711-43-2-2-0.5-0-5634_bdeu-10-2,ilp-162
synth-1732-54-5-2-0.5-0-100_bdeu-0.1-2,ilp-162
synth-1778-21-5-2-0.5-0-1638_bdeu-10-3,cpbayes
synth-1782-38-3-2-0.5-0-259_bdeu-0.1-5,ilp-162
synth-1786-29-6-2-0.5-0-290_bic-4,cpbayes
synth-1804-53-4-2-0.5-0-2263_bdeu-1-5,ilp-162
synth-1805-53-8-2-0.5-0-1254_bic-3,ilp-141
synth-1806-40-8-2-0.5-0-929_bdeu-0.1-5,ilp-162
synth-1817-37-3-2-0.5-0-398_bdeu-1-5,ilp-162
synth-1821-26-3-2-0.5-0-3509_bic-2,cpbayes
synth-1822-46-5-2-0.5-0-8614_bdeu-100-2,ilp-141
synth-1832-44-2-2-0.5-0-6421_bdeu-10-2,ilp-162
synth-1839-59-2-2-0.5-0-103_bdeu-0.1-3,ilp-162
synth-1845-21-5-2-0.5-0-1892_bic-3,cpbayes
synth-1853-23-5-2-0.5-0-6565_bdeu-1-5,cpbayes
synth-1857-52-7-2-0.5-0-371_bdeu-10-2,ilp-162
synth-1868-35-6-2-0.5-0-479_bdeu-10-5,ilp-141-nc
synth-1875-20-2-2-0.5-0-584_bdeu-10-5,cpbayes
synth-1903-20-8-2-0.5-0-5916_bdeu-1-3,cpbayes
synth-1904-52-3-2-0.5-0-3233_bdeu-1-4,ilp-162
synth-1909-24-8-2-0.5-0-601_bdeu-10-4,cpbayes
synth-1923-37-3-2-0.5-0-1151_bic-2,ilp-162
synth-1929-60-6-2-0.5-0-1808_bdeu-10-2,ilp-141
synth-1935-38-6-2-0.5-0-203_bdeu-1-5,ilp-162
synth-1941-32-2-2-0.5-0-461_bdeu-100-3,cpbayes
synth-1968-32-2-2-0.5-0-707_bic-3,ilp-162
synth-1987-21-6-2-0.5-0-1215_bic-5,cpbayes
synth-1989-56-3-2-0.5-0-3955_bdeu-1-2,ilp-162
triazines_bdeu-0.1-3,ilp-141
voting_bdeu-10-3,cpbayes
water_10000_bdeu-100-4,cpbayes
water_1000_bdeu-0.1-6,ilp-141
water_1000_bic-2,ilp-141
water_100_bdeu-1-2,ilp-141
water_100_bdeu-100-6,astar-ec
wiki4he_bdeu-10-4,ilp-141
wiki4he_bic,ilp-162
zoo_bdeu-0.1-4,cpbayes
zoo_bdeu-1-5,cpbayes
zoo_bdeu-10-3,cpbayes
