instance,solver
synth-1543-44-7-2-0.5-0-1099_bdeu-100-2,ilp-162
synth-1562-26-4-2-0.5-0-1202_bdeu-10-3,cpbayes
synth-1574-59-8-2-0.5-0-2976_bdeu-100-2,ilp-162
synth-1578-33-6-2-0.5-0-270_bdeu-100-4,astar-comp
synth-1627-30-8-2-0.5-0-2234_bdeu-10-5,astar-comp
synth-1629-49-8-2-0.5-0-1442_bdeu-0.1-4,ilp-162
synth-1647-33-5-2-0.5-0-2457_bic-3,ilp-141
synth-1649-21-6-2-0.5-0-213_bic-3,cpbayes
synth-1674-37-5-2-0.5-0-951_bdeu-10-2,ilp-162
synth-1681-29-6-2-0.5-0-527_bdeu-1-4,ilp-162-nc
synth-1683-58-3-2-0.5-0-299_bdeu-1-5,ilp-141
synth-1685-37-4-2-0.5-0-244_bdeu-1-3,ilp-162
synth-1693-24-2-2-0.5-0-318_bdeu-0.1-2,ilp-141
synth-1713-27-6-2-0.5-0-1237_bdeu-100-5,astar-ec
synth-1715-28-7-2-0.5-0-2747_bic-3,ilp-162-nc
synth-1737-25-3-2-0.5-0-742_bdeu-100-2,astar-ec
synth-1743-29-4-2-0.5-0-2128_bdeu-10-5,cpbayes
synth-1753-42-2-2-0.5-0-782_bdeu-0.1-4,ilp-162
synth-1754-23-3-2-0.5-0-188_bic-5,ilp-162
synth-1755-53-8-2-0.5-0-294_bic-2,ilp-162
synth-1769-31-5-2-0.5-0-117_bdeu-10-5,cpbayes
synth-1787-36-2-2-0.5-0-5220_bdeu-10-4,ilp-162
synth-1797-57-4-2-0.5-0-556_bic-2,ilp-141
synth-1813-49-2-2-0.5-0-793_bic-3,ilp-162
synth-1835-43-4-2-0.5-0-2577_bdeu-0.1-3,ilp-162
synth-1851-55-7-2-0.5-0-2016_bdeu-100-2,ilp-141
synth-1870-38-6-2-0.5-0-430_bdeu-0.1-2,ilp-162
synth-1894-37-6-2-0.5-0-6919_bdeu-1-4,ilp-141-nc
synth-1902-26-8-2-0.5-0-506_bdeu-1-5,ilp-162
synth-1912-23-7-2-0.5-0-771_bdeu-1-4,cpbayes
synth-1919-45-7-2-0.5-0-4123_bdeu-10-3,ilp-141-nc
synth-1932-30-6-2-0.5-0-422_bdeu-10-4,ilp-162
synth-1985-25-5-2-0.5-0-7549_bdeu-0.1-2,cpbayes
trains_bdeu-0.1-3,astar-ed3
trains_bdeu-0.1-5,astar-ec
triazines_bdeu-0.1-2,ilp-141-nc
turkiye_bdeu-10-5,astar-ec
turkiye_bdeu-100-2,astar-ec
voting_bdeu-10,astar-ec
voting_bdeu-100,astar-ec
water_10000_bdeu-0.1-4,ilp-141
water_10000_bdeu-10-4,ilp-141
water_10000_bdeu-100-5,cpbayes
water_1000_bdeu-0.1-2,ilp-141
water_1000_bdeu-100-2,ilp-141-nc
water_100_bdeu-100-3,cpbayes
water_100_bdeu-100-4,astar-comp
wiki4he_bdeu-1-4,ilp-162
zoo_bdeu-10-5,astar-ec
zoo_bdeu-100-5,astar-ec
