instance,solver
synth-1714-30-5-2-0.5-0-236_bdeu-0.1-2,ilp-141-nc
synth-1729-41-2-2-0.5-0-7211_bdeu-10-2,ilp-141
synth-1761-30-8-2-0.5-0-319_bdeu-10-5,ilp-162
synth-1764-22-3-2-0.5-0-1445_bic-3,ilp-162-nc
synth-1767-33-2-2-0.5-0-721_bic-4,ilp-141
synth-1798-33-6-2-0.5-0-162_bdeu-1-3,ilp-141-nc
synth-1828-33-7-2-0.5-0-180_bdeu-10-5,ilp-162
synth-1841-33-7-2-0.5-0-445_bic-5,ilp-141-nc
synth-1843-47-3-2-0.5-0-3615_bic-5,ilp-162-nc
synth-1848-32-6-2-0.5-0-2663_bdeu-100-3,cpbayes
synth-1925-24-6-2-0.5-0-8018_bdeu-1-2,ilp-141
synth-1943-60-2-2-0.5-0-350_bdeu-1-4,ilp-141
synth-1945-57-5-2-0.5-0-1108_bdeu-0.1-4,ilp-141
synth-1952-36-2-2-0.5-0-101_bic-3,ilp-162
synth-1971-35-2-2-0.5-0-1659_bdeu-1-5,ilp-141-nc
trains_bdeu-0.1-4,astar-comp
trains_bdeu-100-3,cpbayes
water_10000_bdeu-0.1-6,ilp-141-nc
water_10000_bdeu-1-3,ilp-162-nc
water_10000_bdeu-10-2,ilp-141
water_10000_bdeu-100-2,ilp-141
water_10000_bdeu-100-3,ilp-162
water_100_bdeu-0.1-2,ilp-141-nc
water_100_bdeu-0.1-4,ilp-162-nc
water_100_bdeu-10-4,ilp-162
zoo_bdeu-0.1,ilp-162
zoo_bdeu-0.1-5,ilp-162
zoo_bdeu-0.1-6,astar-ed3
zoo_bdeu-1-3,astar-ec
zoo_bdeu-1-6,astar-ec
zoo_bdeu-10,astar-ec
